N,AvgInsert,WorstInsert,AvgSearch,WorstSearch,AvgDelete,WorstDelete,Memory
100,17.6,31,7,7,6.2,7,8260
250,41.2,54,38,38,37,37,20086
500,69.2,93,145,149,149.8,169,47844
750,124.2,161,332.6,340,332.2,377,93682
1000,111.8,179,515.4,669,502.6,759,126784
2000,221.2,324,1561.2,1623,1647,1768,378360
3000,353,468,3506.4,3700,3603,3832,796016
4000,439.2,675,6351.4,6641,6276.6,6573,1256552
5000,528.8,701,9834.8,10252,9690.6,10285,2006368
7500,943.4,1683,20939.4,21927,20902.6,21569,4017004
10000,1455.8,2267,37592,38531,38395,40584,7137592
15000,4507.4,5859,85699.2,87090,87850,88548,15065104
20000,8724.8,11100,153246,156925,156878,160450,26775016
25000,14103,19837,239369,243134,242296,250063,40952512
40000,31779.8,52384,614531,625765,632136,676916,103549768
50000,53046.4,63349,969457,992951,967581,987210,160029816
75000,110996,163846,2.1329e+06,2.15657e+06,2.15993e+06,2.22256e+06,358546928
100000,165162,206866,3.79832e+06,3.88211e+06,3.84236e+06,3.8874e+06,632559464
150000,361821,550417,8.48702e+06,8.77472e+06,8.62914e+06,9.41122e+06,1420218712
200000,608166,969290,1.45946e+07,1.47253e+07,1.4933e+07,1.61451e+07,2515118664
