N,AvgInsert,WorstInsert,AvgSearch,WorstSearch,AvgDelete,WorstDelete,Memory
100,24.6,44,4.4,8,20.4,26,6236
250,73.2,90,13.8,20,81.8,106,17545
500,153,189,25.6,27,173.4,206,34015
750,226,274,45.6,62,249,265,49042
1000,232.6,266,50,56,292.8,340,64158
2000,388.6,441,80.6,96,510.4,529,134320
3000,579,595,138.8,150,775.8,906,198798
4000,930.2,1173,180.6,202,1099,1263,271808
5000,1032,1116,227.8,258,1415,1577,345003
7500,1654.6,1754,437.6,584,2311.2,2549,504959
10000,2236.4,2578,571,603,3012.2,3285,699748
15000,3365.6,3502,906.2,933,4782.6,4890,1015645
20000,4590.8,4685,1362.2,1526,6620.4,6833,1395016
25000,5659,5785,1530.8,1576,7955.2,8054,1665392
40000,9580.8,10066,2905.4,3228,13643.6,14185,2752718
50000,12073,12661,3384.6,3523,17268.4,17358,3386139
75000,18921.4,19486,6201,7963,28618.2,29381,5162689
100000,26199.6,27151,8389,9030,41703,42750,6800657
150000,43896.8,46332,18325.8,19423,74988.6,75939,10285928
200000,60573.6,63421,22943.4,23180,108212,112254,13582184
