N,AvgInsert,WorstInsert,AvgSearch,WorstSearch,AvgDelete,WorstDelete,Memory
100,28.2,43,1,1,1.2,2,13292
250,55.4,64,3,3,4,4,30086
500,77.8,109,4,4,7,7,60124
750,87.2,94,6.2,7,11,11,77874
1000,149.2,191,9,9,15.6,16,120200
2000,326.2,378,24.8,41,40.6,60,240352
3000,383.6,453,33.8,50,62.4,89,311352
4000,630.4,843,49.8,60,69.8,75,480656
5000,481.2,531,44,45,75.2,78,551656
7500,965.4,1174,89.8,96,143,145,925764
10000,1011.2,1084,114,121,213.6,227,1103264
15000,2132.8,2674,282.8,477,362.4,405,1851480
20000,2406.4,3109,333.6,617,460,472,2206480
25000,4301.6,5146,551.8,849,613.6,673,3347912
40000,4954.6,7072,691.4,1240,971.6,1002,4412912
50000,9778.2,12950,1505,2815,1308.4,1591,6695776
75000,10193.2,13265,1708,3342,1946.6,2598,8470776
100000,22448.8,31454,6257.6,8382,4043.2,8568,13391504
150000,34100.8,49638,7664.4,9857,10164.6,15749,16941504
200000,63859.2,69347,16201.2,17789,19053.2,23525,26782960
