N,AvgInsert,WorstInsert,AvgSearch,WorstSearch,AvgDelete,WorstDelete,Memory
100,8.2,17,3,3,9.8,10,6764
250,23.2,36,8,8,37.6,39,14230
500,45.8,52,17,17,71.2,75,28412
750,80.2,99,24,24,83.6,106,53026
1000,96.6,103,34.6,35,143.4,167,56776
2000,244.4,348,92.4,111,329.6,430,113504
3000,274.6,333,85,93,238.8,265,211960
4000,294.4,326,119.6,143,402,526,226960
5000,542.4,724,138.4,161,402.8,506,408872
7500,709.6,829,267,329,715,836,446372
10000,1086.8,1195,283,314,680,709,817696
15000,1560.4,2171,597.2,698,1654,2186,892696
20000,2439.8,2660,736,935,1461,1478,1635344
25000,2709.4,2813,953.4,959,2158.6,2240,1710344
40000,5132.6,5223,1578,1602,3164.8,3196,3270640
50000,5833.2,6028,2205.6,2233,4647.8,4672,3420640
75000,11160,12285,3176,3359,6161,6558,6466232
100000,12893.8,13518,4765,4834,9773.2,10061,6841232
150000,29994.6,30998,8214,9780,14800.8,16776,12932416
200000,35016.2,37264,11856.4,12519,22634.6,24778,13682416
