N,AvgInsert,WorstInsert,AvgSearch,WorstSearch,AvgDelete,WorstDelete,Memory
100,12.2,26,1,1,0,0,13836
250,23.8,35,2,2,1,1,28374
500,51,81,4,4,2.8,3,56700
750,112,127,6.6,7,4,4,109602
1000,120.6,133,9,9,6,6,113352
2000,324.8,356,18,18,12,12,226656
3000,748.4,800,32.6,51,18.2,22,438264
4000,503.4,550,25.4,28,17,19,453264
5000,750.4,810,43.2,59,22,29,468264
7500,1042,1138,53.8,55,28.6,29,898980
10000,1669.2,1781,76,80,38.8,39,936480
15000,2358.6,2873,128.4,145,59.4,63,1797912
20000,4970.8,5240,180.6,205,80.4,86,1872912
25000,4416.8,4863,234,294,101.6,113,3520776
40000,14104,14909,359,382,179.4,240,3745776
50000,8919.6,9497,608,888,239.2,360,7041504
75000,36751.8,39642,822.2,1120,319.6,341,7416504
100000,19645.8,24086,2094,2588,691.2,834,14082960
150000,139853,157029,4496.6,5440,1468,1897,14832960
200000,52126.4,55610,8743,8896,4103.6,5063,28165872
