N,AvgInsert,WorstInsert,AvgSearch,WorstSearch,AvgDelete,WorstDelete,Memory
100,50.4,77,17.2,20,28.8,49,11140
250,172.6,192,42.2,48,130.8,166,30550
500,370.8,400,100.2,107,230.6,265,59618
750,576.8,668,150.6,162,306.6,379,90212
1000,607,685,182.4,255,406.4,512,122870
2000,1277,1324,356.4,430,1096.2,1264,246781
3000,2122.8,2266,561.4,683,1950.8,2446,368443
4000,2959.2,3117,804.4,848,2796,3616,486334
5000,3871.6,4017,1109.8,1214,3420.6,3751,607704
7500,6067.8,6267,1945.6,2434,5526.6,6523,922834
10000,8232,8807,2757.6,3931,6936.6,7626,1225335
15000,13530.2,14128,5516,6143,11095.6,11723,1849105
20000,18856.4,19684,7923,9330,15448.6,16498,2477156
25000,23762.6,24794,10528,12673,18495.4,19380,3102786
40000,41496.2,42949,19186.6,20995,32640.2,33391,4976237
50000,55980,59330,28747.6,34532,42436.2,44586,6200205
75000,89766.2,95128,48101.2,54196,77931.4,82460,9252290
100000,125034,129941,72213.8,78265,101566,103289,12395629
150000,207240,216113,132582,146286,178676,182881,18583389
200000,322008,374261,229709,277108,287246,326277,24816517
