N,AvgInsert,WorstInsert,AvgSearch,WorstSearch,AvgDelete,WorstDelete,Memory
100,17.2,28,5.2,6,17.6,18,6652
250,70.2,77,15.6,17,98.8,103,14022
500,232.2,241,36.2,42,369.8,378,28012
750,523,639,55.2,81,753.4,829,52242
1000,642.2,704,52.8,54,974.4,1041,55992
2000,2624,2652,122.2,127,3932.2,4102,111952
3000,6031,6461,189.4,201,8664.6,8925,208872
4000,10496.4,10616,268.8,287,15937.4,16502,223872
5000,18022.4,21990,329.8,334,22834.6,23281,402712
7500,37600.6,38715,560.4,619,53919.8,58031,440212
10000,65929,66426,778.4,786,99955.6,100860,805392
15000,150500,153191,1264.2,1320,215680,226903,880392
20000,270537,285809,1808.2,1868,373631,383519,1610752
25000,501230,625359,2810.4,3640,685803,881653,1685752
40000,1.24579e+06,1.65712e+06,4760.6,6407,1.8665e+06,2.87615e+06,3221472
50000,2.40104e+06,3.83666e+06,8384,16407,3.16597e+06,5.09782e+06,3371472
75000,5.24837e+06,8.06094e+06,11434.2,19994,6.00908e+06,8.13694e+06,6367912
100000,7.96932e+06,9.74992e+06,16142.6,27808,1.16098e+07,1.39345e+07,6742912
150000,1.65985e+07,1.89067e+07,21550.6,29628,2.50676e+07,2.89243e+07,12735792
200000,3.10398e+07,3.28844e+07,33106.2,63586,4.44499e+07,4.5615e+07,13485792
